^Banco 24 Horas,Despesas Operacionais
CPMF,Imposto
CIA HAIR DESING,Despesas Operacionais
CARREFOUR,Compras
LEROY MERLIN,Casa
DROG PACHECO,Remédios
AUTO POSTO,Automóvel
MC DONALDS,Despesas Operacionais
FUNDAO GRIL,Despesas Operacionais
PAPIZZ,Despesas Operacionais
FNAC,Despesas Operacionais
LAPIS DE COR,Despesas Operacionais
PREZUNIC,Compras
EXTRA,Compras
RI HAPPI,Despesas Operacionais
LOJAS RENNER,Despesas Operacionais
MAHOGANY,Despesas Operacionais
RESTAURANTE,Despesas Operacionais
ROMMANO,Despesas Operacionais
CONNECTION,Despesas Operacionais
POSTO,Automóvel
Pagto conta telefone,Telefone
Proventos,Receitas
^Saque no TAA,Despesas Operacionais
Tarifa,Tarifa
